N,Run,Theta_NO,Theta_BH,T_NO,T_BH,Total_NO,Total_BH
10,1,5.439999222289771e-05,0.0002933999930974096,0.0025533000007271767,0.0008765000093262643,0.0026076999929500744,0.0011699000024236739
10,2,2.5200002710334957e-05,0.0002796000044327229,0.0025991000002250075,0.0006380999984685332,0.0026243000029353425,0.0009177000029012561
10,3,2.1599989850074053e-05,0.0002533000078983605,0.003555999996024184,0.0003943999909097329,0.003577599985874258,0.0006476999988080934
10,4,4.050000279676169e-05,0.00022229999012779444,0.002698600001167506,0.0004975000047124922,0.0027391000039642677,0.0007197999948402867
10,5,1.7999991541728377e-05,0.00023190000501926988,0.0019250000041211024,0.0009160999907180667,0.0019429999956628308,0.0011479999957373366
10,6,1.68999977177009e-05,0.0004645000008167699,0.0017961999983526766,0.0005818000063300133,0.0018130999960703775,0.0010463000071467832
10,7,1.8600010662339628e-05,0.0005869000015081838,0.0035161999985575676,0.00036809999437537044,0.0035348000092199072,0.0009549999958835542
10,8,2.200000744778663e-05,0.0002373000024817884,0.002778599999146536,0.00028809999639634043,0.0028006000065943226,0.0005253999988781288
10,9,1.6600009985268116e-05,0.00025749999622348696,0.002002699999138713,0.0007691999926464632,0.002019300009123981,0.0010266999888699502
10,10,1.8400009139440954e-05,0.00021899999410379678,0.0020135999948251992,0.0007244000007631257,0.00203200000396464,0.0009433999948669225
10,11,1.7300000763498247e-05,0.00025630000163801014,0.0017988000035984442,0.0003760999970836565,0.0018161000043619424,0.0006323999987216666
10,12,5.439999222289771e-05,0.00022229999012779444,0.0026597000105539337,0.0012740999954985455,0.0027141000027768314,0.00149639998562634
10,13,6.710000161547214e-05,0.0002558999985922128,0.00220239999180194,0.0005976000102236867,0.002269499993417412,0.0008535000088158995
10,14,1.8999999156221747e-05,0.00029599999834317714,0.0015982999902917072,0.0004071000003023073,0.001617299989447929,0.0007030999986454844
10,15,1.7300000763498247e-05,0.000222100003156811,0.0020737000013468787,0.000563299996429123,0.002091000002110377,0.000785399999585934
10,16,1.68999977177009e-05,0.0002835000050254166,0.001791399990906939,0.000534999999217689,0.0018082999886246398,0.0008185000042431056
10,17,1.7600003047846258e-05,0.0002944999869214371,0.001481600003899075,0.0002516999957151711,0.0014992000069469213,0.0005461999826366082
10,18,3.569999535102397e-05,0.0002466000005370006,0.0018122000037692487,0.0002212000108556822,0.0018478999991202727,0.0004678000113926828
10,19,1.650000922381878e-05,0.00021739999647252262,0.0018570999964140356,0.0005663000047206879,0.0018736000056378543,0.0007837000011932105
10,20,1.71000137925148e-05,0.00023890000011306256,0.0031636000057915226,0.0006161999917821959,0.0031807000195840374,0.0008550999918952584
10,21,1.7400001524947584e-05,0.0002263000060338527,0.001558200005092658,0.0004820000031031668,0.0015756000066176057,0.0007083000091370195
10,22,2.02999945031479e-05,0.00025880000612232834,0.0027311000012559816,0.00022430000535678118,0.0027513999957591295,0.0004831000114791095
10,23,1.720000000204891e-05,0.0004984999977750704,0.0017321999912383035,0.0011558999976841733,0.0017493999912403524,0.0016543999954592437
10,24,1.9099999917671084e-05,0.00021810000180266798,0.001912899999297224,0.0002192999963881448,0.001931999999214895,0.00043739999819081277
10,25,1.6699996194802225e-05,0.0002558999985922128,0.0026895000046351925,0.0005065000004833564,0.0027062000008299947,0.0007623999990755692
