N,Run,Theta_NO,Theta_BH,T_NO,T_BH,Total_NO,Total_BH
100,1,0.000291600008495152,0.02600749999692198,3.5503154000034556,0.7845595999970101,3.5506070000119507,0.8105670999939321
100,2,0.00026339999749325216,0.0260687000118196,3.2180883000110043,0.648508900005254,3.2183517000084976,0.6745776000170736
100,3,0.0002776000037556514,0.02557449998857919,3.2044613000034587,0.5058055999979842,3.2047389000072144,0.5313800999865634
100,4,0.00019379999139346182,0.026115200002095662,3.4334303000068758,0.6440186999971047,3.4336240999982692,0.6701338999992004
100,5,0.00019380000594537705,0.023356400008196943,3.1017229999997653,0.654056400002446,3.1019168000057107,0.677412800010643
100,6,0.00024680000205989927,0.02463020000141114,3.312665899997228,0.6452603999932762,3.3129126999992877,0.6698905999946874
100,7,0.00021559999731834978,0.024330299987923354,3.2928660000034142,0.6213295999914408,3.2930816000007326,0.6456598999793641
100,8,0.00023570000485051423,0.028260899998713285,3.546039999986533,0.6965759999875445,3.5462756999913836,0.7248368999862578
100,9,0.0002693999995244667,0.026109099999302998,3.519848900003126,0.5932698000106029,3.5201183000026504,0.6193789000099059
100,10,0.00025340000865980983,0.02296570000180509,3.5227545000088867,0.636977600006503,3.5230079000175465,0.6599433000083081
100,11,0.0002192999963881448,0.02377379999961704,3.5016670000040904,0.7546279999951366,3.5018863000004785,0.7784017999947537
100,12,0.0002376000047661364,0.02724840000155382,3.032987700004014,0.7207278999994742,3.0332253000087803,0.747976300001028
100,13,0.0003068999940296635,0.023583800008054823,3.534552099998109,0.6661887000082061,3.5348589999921387,0.6897725000162609
100,14,0.0002488000027369708,0.024789199989754707,3.1773355000041192,0.870399899999029,3.177584300006856,0.8951890999887837
100,15,0.00021240000205580145,0.04305639999802224,3.359959199995501,0.6026501999876928,3.3601715999975568,0.645706599985715
100,16,0.00020979999681003392,0.027787200000602752,3.4163632999989204,0.7822305000008782,3.4165730999957304,0.810017700001481
100,17,0.0002339999919058755,0.027211199994781055,3.6617350000014994,0.7824126000050455,3.6619689999934053,0.8096237999998266
100,18,0.0002680000034160912,0.025831200007814914,3.5884525000001304,0.5854117999988375,3.5887205000035465,0.6112430000066524
100,19,0.00023970000620465726,0.023713400005362928,3.4466915000084555,0.5501914999913424,3.44693120001466,0.5739048999967054
100,20,0.0002334000018890947,0.022627700003795326,3.106269500000053,0.5350490999990143,3.106502900001942,0.5576768000028096
100,21,0.00023520000104326755,0.025713600000017323,3.351411800002097,0.5725258000020403,3.3516470000031404,0.5982394000020577
100,22,0.0002018999948631972,0.027664099994581193,3.38788769999519,0.5478580999915721,3.388089599990053,0.5755221999861533
100,23,0.0002440999960526824,0.02672090000123717,3.068514200000209,0.6355635999934748,3.0687582999962615,0.662284499994712
100,24,0.0002023999986704439,0.02318329999980051,3.5994248000060907,0.725465700001223,3.599627200004761,0.7486490000010235
100,25,0.00022329999774228781,0.022167299990542233,3.2496508000040194,0.9025192999979481,3.2498741000017617,0.9246865999884903
100,26,0.00040240000816993415,0.028805800000554882,3.72103070000594,0.7662296000053175,3.72143310001411,0.7950354000058724
100,27,0.0002612000098451972,0.026017600001068786,3.4942182000086177,0.7150845999858575,3.494479400018463,0.7411021999869263
100,28,0.00025099999038502574,0.02562230000330601,3.513542700005928,0.5933702999900561,3.513793699996313,0.6189925999933621
100,29,0.0002612999960547313,0.02240689999598544,3.3804930000042077,0.5868647000024794,3.3807543000002624,0.6092715999984648
100,30,0.00019920000340789557,0.024810700007947162,3.602558999991743,0.6259894999966491,3.602758199995151,0.6508002000045963
100,31,0.00023489999875891954,0.023536199994850904,3.191507499999716,0.5960121000098297,3.191742399998475,0.6195483000046806
100,32,0.0004962999955751002,0.024226899986388162,3.4820321000006516,0.6350992000079714,3.4825283999962267,0.6593260999943595
100,33,0.0002238000015495345,0.02289059999748133,3.4431751999945845,0.6537206999928458,3.443398999996134,0.6766112999903271
100,34,0.00021440000273287296,0.024033599998801947,3.1852042000100482,0.6972433000046294,3.185418600012781,0.7212769000034314
100,35,0.00018509999790694565,0.039949199999682605,3.4600351999979466,0.636471400008304,3.4602202999958536,0.6764206000079866
100,36,0.00018990000535268337,0.023958999998285435,3.6505260999983875,0.7228488000109792,3.65071600000374,0.7468078000092646
100,37,0.00024290000146720558,0.02515480000874959,3.4668920999974944,0.6490162000118289,3.4671349999989616,0.6741710000205785
100,38,0.0002690000110305846,0.023449000000255182,3.523806400000467,0.7476294000080088,3.5240754000114975,0.771078400008264
100,39,0.0002592999953776598,0.023193300003185868,3.350572099996498,0.5587879000086104,3.3508313999918755,0.5819812000117963
100,40,0.00020379999477881938,0.022434099999372847,3.3624680999928387,0.6015417000016896,3.3626718999876175,0.6239758000010625
100,41,0.000225800002226606,0.022271300011198036,3.278276299999561,0.6150236000103178,3.2785021000017878,0.6372949000215158
100,42,0.00023769999097567052,0.02282329999434296,3.394363200000953,0.6550321000104304,3.3946008999919286,0.6778554000047734
100,43,0.00019740000425372273,0.02643470000475645,3.193824300004053,0.721926700003678,3.1940217000083067,0.7483614000084344
100,44,0.00024509998911526054,0.021342099993489683,3.64205629999924,0.6264309999969555,3.642301399988355,0.6477730999904452
100,45,0.00023999999393709004,0.023853099992265925,3.3720677999954205,0.6945676000032108,3.3723077999893576,0.7184206999954768
100,46,0.000251300007221289,0.02607789999456145,3.4124806000036187,0.6848087999969721,3.41273190001084,0.7108866999915335
100,47,0.0002982000005431473,0.0248355000076117,3.278085199999623,0.9138687000086065,3.278383400000166,0.9387042000162182
