N,Run,Theta_NO,Theta_BH,T_NO,T_BH,Total_NO,Total_BH
40,1,7.130000449251384e-05,0.004332000011345372,0.14431400000466965,0.031935999999404885,0.14438530000916217,0.036268000010750256
40,2,6.349998875521123e-05,0.0037536000018008053,0.15177830000175163,0.03683739999542013,0.15184179999050684,0.04059099999722093
40,3,7.410001126118004e-05,0.003760200008400716,0.176629800000228,0.0330250000115484,0.17670390001148917,0.036785200019949116
40,4,7.319998985622078e-05,0.003901700009009801,0.14534279999497812,0.0194986999995308,0.14541599998483434,0.0234004000085406
40,5,7.589999586343765e-05,0.0037117999891052023,0.14898640000319574,0.039887600010843016,0.14906229999905918,0.04359939999994822
40,6,7.949999417178333e-05,0.003910900006303564,0.14944870000181254,0.0391278000024613,0.14952819999598432,0.04303870000876486
40,7,7.709999044891447e-05,0.0036050000053364784,0.1494578999991063,0.02585489999910351,0.14953499998955522,0.029459900004439987
40,8,6.44999963697046e-05,0.003724599999259226,0.14311289999750443,0.03561880000052042,0.14317739999387413,0.03934339999977965
40,9,7.670000195503235e-05,0.003910400002496317,0.17157419999421109,0.03159889999369625,0.17165089999616612,0.03550929999619257
40,10,9.279999358113855e-05,0.004096799995750189,0.17414380000263918,0.03707649999705609,0.17423659999622032,0.04117329999280628
40,11,8.38999985717237e-05,0.005477899991092272,0.1418446000025142,0.04079729999648407,0.14192850000108592,0.04627519998757634
40,12,8.169999637175351e-05,0.00418179998814594,0.16665050000301562,0.04104090000328142,0.16673219999938738,0.04522269999142736
40,13,8.13999940874055e-05,0.003932400009944104,0.1587444000033429,0.026344800004153512,0.1588257999974303,0.030277200014097616
40,14,0.00010220000694971532,0.003999900000053458,0.15424150000035297,0.026718300010543317,0.1543437000073027,0.030718200010596775
40,15,7.989999721758068e-05,0.004112800001166761,0.17525169999862555,0.030340599987539463,0.17533159999584313,0.034453399988706224
40,16,9.110000974033028e-05,0.003920000002835877,0.16340889999992214,0.02839740000490565,0.16350000000966247,0.032317400007741526
40,17,7.890000415500253e-05,0.00422190000244882,0.15443080000113696,0.04256529999838676,0.15450970000529196,0.04678720000083558
40,18,9.549999958835542e-05,0.00410109999938868,0.16926340000645723,0.027599200009717606,0.1693589000060456,0.031700300009106286
40,19,7.860000187065452e-05,0.0039191999967442825,0.16305770000326447,0.02902219998941291,0.16313630000513513,0.032941399986157194
40,20,8.019999950192869e-05,0.004153599991695955,0.1727452000050107,0.0384522999956971,0.17282540000451263,0.04260589998739306
40,21,0.00011399999493733048,0.00402260001283139,0.17770670000754762,0.044869900011690333,0.17782070000248495,0.04889250002452172
40,22,7.870000263210386e-05,0.003896599999279715,0.151030199995148,0.024888599989935756,0.1511088999977801,0.02878519998921547
40,23,8.13000078778714e-05,0.003959900001063943,0.15982329999678768,0.04018379999615718,0.15990460000466555,0.04414369999722112
40,24,7.989999721758068e-05,0.004008499992778525,0.18272630000137724,0.024374300002818927,0.18280619999859482,0.028382799995597452
40,25,8.270000398624688e-05,0.003990000011981465,0.1668989000027068,0.03635480000230018,0.16698160000669304,0.040344800014281645
40,26,7.979999645613134e-05,0.0039628999948035926,0.17721290000190493,0.025950399998691864,0.17729269999836106,0.029913299993495457
40,27,7.840000034775585e-05,0.003935999993700534,0.1658014999993611,0.10019630000169855,0.16587989999970887,0.10413229999539908
40,28,8.069998875726014e-05,0.003968799996073358,0.15642250000382774,0.02841049998824019,0.156503199992585,0.03237929998431355
40,29,7.890000415500253e-05,0.0036896000092383474,0.14719760000298265,0.024683199997525662,0.14727650000713766,0.02837280000676401
40,30,7.170000753831118e-05,0.004347599999164231,0.1557864999922458,0.040257499989820644,0.15585819999978412,0.044605099988984875
40,31,8.410000009462237e-05,0.0198275000002468,0.16494770000281278,0.036556400009430945,0.1650318000029074,0.056383900009677745
40,32,7.419999747071415e-05,0.004160700002103113,0.1575553000002401,0.03852789998927619,0.1576294999977108,0.042688599991379306
40,33,6.650001159869134e-05,0.004006900009699166,0.1629444000136573,0.023387799999909475,0.16301090002525598,0.02739470000960864
40,34,6.690000009257346e-05,0.0037379999994300306,0.1562771999888355,0.031834399997023866,0.15634409998892806,0.035572399996453896
40,35,7.129998994059861e-05,0.0036308999988250434,0.15311800000199582,0.026013399998191744,0.15318929999193642,0.029644299997016788
40,36,8.579999848734587e-05,0.004042100001242943,0.1762690999894403,0.03989299999375362,0.17635489998792764,0.04393509999499656
40,37,9.31999966269359e-05,0.00400400000216905,0.15142769999511074,0.037493600000743754,0.15152089999173768,0.041497600002912804
40,38,8.759999764151871e-05,0.003972299993620254,0.14958050000132062,0.04044070000236388,0.14966809999896213,0.04441299999598414
40,39,6.840001151431352e-05,0.0035586000012699515,0.14365820000239182,0.029353199992328882,0.14372660001390614,0.032911799993598834
40,40,7.019999611657113e-05,0.0038854000013088807,0.1674534999910975,0.03615749999880791,0.16752369998721406,0.04004290000011679
40,41,8.329999400302768e-05,0.00401889999920968,0.15235600000596605,0.034265800000866875,0.15243929999996908,0.038284700000076555
40,42,8.430000161752105e-05,0.00393209999310784,0.17353369999909773,0.03158540000731591,0.17361800000071526,0.03551750000042375
40,43,8.009999874047935e-05,0.00395290000597015,0.1583122000010917,0.04513220000080764,0.15839229999983218,0.04908510000677779
40,44,9.629999112803489e-05,0.003981799993198365,0.16923250000400003,0.033318499990855344,0.16932879999512807,0.03730029998405371
40,45,0.00011020000965800136,0.004150499997194856,0.1561597999971127,0.044258999987505376,0.15627000000677072,0.04840949998470023
40,46,7.949999417178333e-05,0.004038999992189929,0.17610870000498835,0.03211869999358896,0.17618819999916013,0.03615769998577889
40,47,0.00011670000094454736,0.004095299998880364,0.17531000000599306,0.029410499992081895,0.1754267000069376,0.03350579999096226
40,48,8.270000398624688e-05,0.004030600000987761,0.17486689999350347,0.029327999989618547,0.1749495999974897,0.03335859999060631
40,49,9.729999874252826e-05,0.004144300008192658,0.18531240000447724,0.03970209999533836,0.18540970000321977,0.043846400003531016
40,50,8.16000101622194e-05,0.004089800000656396,0.1669387000001734,0.04610950000642333,0.16702030001033563,0.05019930000707973
